Module,Stage,Status,business_id,name,address,city,state,postal_code,PhoneDayNumber,PhoneDayExt,Status
FoodFacility,Active,Permitted,7600007,1860 Saloon & Hard Shell Cafe,1860 S 9Th,St Louis,MO,63104,231-1860,,Permitted
FoodFacility,Active,Permitted,1400655,2 Girls 4 Wheels,1335 Convention Plz,St Louis,MO,63103,363-8154,,Permitted
FoodFacility,Active,Permitted,1400269,2 Schae Cafe,275 UNION STE 100,St Louis,MO,63108,361-5333,,Permitted
FoodFacility,Active,Permitted,1400428,2720 Cherokee Llc,2720 CHEROKEE,St Louis,MO,63118,276-2700,,Permitted
FoodFacility,Active,Permitted,MWHN-974R2C,33 Wine Bar,1911-13 Park Ave,St Louis,MO,63104,231-9463,,Permitted
FoodFacility,Active,Permitted,37430,34 Club,34 N EUCLID,St Louis,MO,63108,367-6674,,Permitted
FoodFacility,Active,Permitted,KHUS-9K2S2W,3500 Winehaus,3500 Watson,St Louis,MO,63139,,,Permitted
FoodFacility,Active,Permitted,11000070,4 Hands Brewing Co,1220 S 8TH St,St Louis,MO,63104,436-1555,,Permitted
FoodFacility,Active,Permitted,PMAY-8UKR5M,400 Olive @ Hilton,400 Olive,St Louis,MO,63102,554-7098,,Permitted
FoodFacility,Active,Permitted,1400258,6 North Cafe,701 Market Suite 50,St Louis,MO,63101,241-4333,,Permitted
FoodFacility,Active,Permitted,1200769,7-Eleven,5604 Gravois,St Louis,MO,63116,353-6630,,Permitted
FoodFacility,Active,Permitted,1200769,7-Eleven,3160 MORGANFORD,St Louis,MO,63116,664-8166,,Permitted
FoodFacility,Active,Permitted,1200769,7-Eleven,5350 Chippewa,St Louis,MO,63109,481-5753,,Permitted
FoodFacility,Active,Permitted,1200769,7-Eleven,509 Bates St,St Louis,MO,63111,352-1711,,Permitted
FoodFacility,Active,Permitted,MWHN-8WLRE6,7-Eleven #19279-E,2807 Sulphur,St Louis,MO,63139,645-3560,,Permitted
FoodFacility,Active,Permitted,1200863,7-Eleven #19457,4948 Christy,St Louis,MO,63116,481-3290,,Permitted
FoodFacility,Active,Permitted,1200839,7-Eleven #19501,201 N 17Th,St Louis,MO,63103,421-2388,,Permitted
FoodFacility,Active,Permitted,1200768,7-Eleven #20883,2607 GRAVOIS,St Louis,MO,63118,771-8905,,Permitted
FoodFacility,Active,Permitted,1200754,7-Eleven #27408A,6909 SOUTHWEST,St Louis,MO,63143,644-0711,,Permitted
FoodFacility,Active,Permitted,35839,911 Head Start #1,911 N Spring,St Louis,MO,63108,615-3600,,Permitted
FoodFacility,Active,Permitted,10100011,9th Street Bar & Grill,811 N 9Th,St Louis,MO,63101,421-4000,x107,Permitted
FoodFacility,Active,Permitted,MWIS-9H3QDN,A & M Grocery,2800 N Sarah,St Louis,MO,63115,,,Permitted
FoodFacility,Active,Permitted,1200947,A & S Mesnica,4905 BLOW,St Louis,MO,,351-0068,,Permitted
FoodFacility,Active,Permitted,MLEN-95WQH4,A & Z BBQ,3907 Branwen Ct,FLORISSANT,MO,63034,838-1106,,Permitted
FoodFacility,Active,Permitted,38389,A B Academy,2705 Potomac Ave,St Louis,MO,63118,773-8277,,Permitted
FoodFacility,Active,Permitted,37780,A Fresh Gathering,3437 CAROLINE ROOM 3076,St Louis,MO,63104,977-8523,,Permitted
