Module,SourceDatabaseName,Name,FacilityType,BillingType,InspectionDate,Type,FollowupInspectionRequired,NextInspection,NumCritical,NumNonCritical,NumRepeat,TotHazardRating
Food,St. Louis EHS Live,Rams 5 Star Kettle Korn,Temporary,Temporary Food Permit,20140102,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Imo's Pizza,CARRYOUT,Medium Complexity,20140102,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,St Louis Job Corp,SCHOOL - PREP,Low Complexity,20140102,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,The Mahogany Grille,RESTAURANT,High Complexity,20140102,Routine,No,,1,0,0,97
Food,St. Louis EHS Live,Copia Market,GROCERY/MEAT/FISH/PRODUCE,Grocery Store,20140102,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,The Over Under Bar And Grill,RESTAURANT,High Complexity,20140102,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,St Louis Bread Co #787,RESTAURANT,Medium Complexity,20140102,Routine,Yes,7-Jan-14,1,0,0,97
Food,St. Louis EHS Live,Copia,RESTAURANT,High Complexity,20140102,Routine,No,,2,2,0,93
Food,St. Louis EHS Live,Subway Sandwiches & Salads,RESTAURANT,Medium Complexity,20140102,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,Gokul Indian Restaurant,RESTAURANT,High Complexity,20140102,Routine,No,,0,4,2,96
Food,St. Louis EHS Live,Kayaks Coffee,RESTAURANT,Medium Complexity,20140102,Routine,No,,0,2,0,98
Food,St. Louis EHS Live,Brennans,RESTAURANT,Low Complexity,20140102,Routine,No,,0,2,1,98
Food,St. Louis EHS Live,Steve's Hot Dogs,RESTAURANT,Medium Complexity,20140102,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,Employee Dining Room,RESTAURANT,High Complexity,20140103,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Asia,RESTAURANT,High Complexity,20140103,Routine,No,,0,2,0,98
Food,St. Louis EHS Live,Stadium Sports Bar - Grill - Lounge,RESTAURANT,High Complexity,20140103,Routine,No,,1,1,0,96
Food,St. Louis EHS Live,The Kitchen Buffett And Bistro,RESTAURANT,High Complexity,20140103,Routine,No,,1,3,0,95
Food,St. Louis EHS Live,Bernie's Place,RESTAURANT,Low Complexity,20140103,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Morgan Street Brewery,RESTAURANT,High Complexity,20140103,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Hannegan's Restaurant & Pub,RESTAURANT,High Complexity,20140103,Routine,No,,0,4,1,96
Food,St. Louis EHS Live,Hissho Sushi @ Field Foods,RESTAURANT,Initial Permit Application,20140103,Opening,Yes,10-Feb-14,0,0,0,100
Food,St. Louis EHS Live,Morgan Street Brewery,RESTAURANT,High Complexity,20140103,Routine,No,,1,3,2,94
Food,St. Louis EHS Live,Thai Country Cafe,RESTAURANT,High Complexity,20140103,Complaint,No,,,,2,97
Food,St. Louis EHS Live,Banh Mi So 1,RESTAURANT,Medium Complexity,20140103,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,Mr International Market,BAKERY,Initial Permit Application,20140103,Re-inspection,Yes,15-Jan-14,2,1,0,93
Food,St. Louis EHS Live,First Priority Development Center,DAYCARE CENTER,Medium Complexity,20140103,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Stallone's Pizza And More,RESTAURANT,Initial Permit Application,20140103,Opening,No,,2,3,0,92
Food,St. Louis EHS Live,Royal Kebab Restaurant,RESTAURANT,Medium Complexity,20140103,Compliance,No,,0,0,0,100
Food,St. Louis EHS Live,Tucker's Courtesy Pub,RESTAURANT,Medium Complexity,20140103,Compliance,No,,0,0,0,100
Food,St. Louis EHS Live,Reno's Pub,TAVERN,Low Complexity,20140103,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Perennial Artisan Ales,RESTAURANT,Medium Complexity,20140103,Compliance,No,,0,0,0,100
Food,St. Louis EHS Live,Almost Home Inc,INSTITUTION,Medium Complexity,20140103,Routine,Yes,7-Jan-14,1,0,0,97
Food,St. Louis EHS Live,Chinese Express,RESTAURANT,High Complexity,20140103,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,Michaels Catering Kitchen,CATERER,High Complexity,20140103,Re-inspection,No,,0,3,0,98
Food,St. Louis EHS Live,Blood & Sand,RESTAURANT,High Complexity,20140103,Complaint,Yes,7-Feb-14,1,0,0,97
Food,St. Louis EHS Live,Blood & Sand,RESTAURANT,High Complexity,20140107,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,Almost Home Inc,INSTITUTION,Medium Complexity,20140107,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,St Louis Bread Co #787,RESTAURANT,Medium Complexity,20140107,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,St Louis Bread Co #787,RESTAURANT,Medium Complexity,20140107,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,Imo's Pizza,RESTAURANT,Medium Complexity,20140108,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Firehouse Subs,RESTAURANT,Medium Complexity,20140108,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,Steak N Shake,RESTAURANT,Medium Complexity,20140108,Routine,Yes,10-Jan-14,1,2,0,95
Food,St. Louis EHS Live,Perennial Artisan Ales,RESTAURANT,Medium Complexity,20140108,Compliance,No,,0,0,0,100
Food,St. Louis EHS Live,New Way Market,GROCERY/MEAT/FISH/PRODUCE,Grocery Store,20140108,Re-inspection,No,,0,1,1,99
Food,St. Louis EHS Live,Provision Of Promise,NURSING HOME,Medium Complexity,20140108,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Church's Chicken #161,RESTAURANT,Medium Complexity,20140108,Re-inspection,No,,0,1,1,99
Food,St. Louis EHS Live,Subway Sandwiches & Salads,RESTAURANT,Medium Complexity,20140108,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,New Way Market,CARRYOUT,Initial Permit Application,20140108,Re-inspection,No,,0,2,0,98
Food,St. Louis EHS Live,Fresh Ideas @ Early Childhood Devel Ctr,DAYCARE CENTER,High Complexity,20140109,Routine,No,,0,4,0,97
Food,St. Louis EHS Live,Cabin Inn,CONCESSION STAND,Low Complexity,20140109,Routine,Yes,10-Jan-14,1,0,0,97
Food,St. Louis EHS Live,Cabin Inn,CONCESSION STAND,Low Complexity,20140110,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,The Social Affair,CATERER,Initial Permit Application,20140110,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,Nathalie's,RESTAURANT,Initial Permit Application,20140110,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,Wing Zone,RESTAURANT,Initial Permit Application,20140110,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,Soho Restaurant & Lounge,RESTAURANT,Medium Complexity,20140110,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,St Louis Bread Co #614,RESTAURANT,Medium Complexity,20140110,Complaint,No,,1,3,0,94
Food,St. Louis EHS Live,Uncle Bill's Pancake House,RESTAURANT,High Complexity,20140110,Routine,No,,0,5,1,96
Food,St. Louis EHS Live,Fu Lee Chinese Kitchen,RESTAURANT,High Complexity,20140110,Routine,No,,0,5,3,96
Food,St. Louis EHS Live,St Louis Bread Co #673,RESTAURANT,High Complexity,20140110,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,AL-NOOR RESTAURANT,RESTAURANT,Initial Permit Application,20140110,Opening,Yes,11-Feb-14,0,0,0,100
Food,St. Louis EHS Live,Nasilb Restaurant,RESTAURANT,Initial Permit Application,20140110,Re-inspection,No,,0,0,0,100
